# This catalog has been produced on behalf of Francesc Torradeflot (torradeflot@pic.es) with ID #3498.
# It took 0:01:01 (h:mm:ss) to complete and the SQL issued was:
# 
# SELECT `ra`, `dec` 
# FROM gaia_dr2 
# limit 5000
# 
# Please, remember to follow the citation guide if you use any of this data in your work.
# 
# Generated by CosmoHub (https://cosmohub.pic.es) on 2018-09-21 13:05:19.410000 UTC.
ra,dec
262.1313047560894,-16.576394681974207
289.91099095987227,-29.231500940760558
190.56890605418798,-53.88167437591404
190.5642385455095,-53.87592867447972
220.1987122256751,-53.88075771904635
278.31169485758875,-33.07358409372353
252.28037921423086,-29.579941056338193
260.3783946261585,-32.00921065080815
293.42639080935686,20.815211588353968
292.72257032500283,7.852083790495606
256.954142343183,-57.31376118366851
317.3247846377534,37.24584366770662
294.4789024102888,40.70056073702868
235.412600049563,-36.71385030086026
281.82526393381863,9.961475429010745
292.7217442000015,7.843459599712029
115.5287812645458,-6.512854950513087
260.3763629952371,-32.00867655352988
254.7472364108726,-25.20596260810524
264.2415847419069,-7.410742239316741
292.3606716862644,-18.458395853437377
287.4433199744812,-25.534808714078938
281.82017917915937,-10.443527846060144
244.50053575960334,-50.78334812641203
239.63023304358072,-36.715734772335104
283.5753256117753,-16.883332801287917
338.39998835387433,58.24098985679349
296.9348474149127,29.38809591757115
262.83349328011246,-27.54504650849936
262.13338073905857,-16.57896855939005
282.8767467302048,25.359321835673878
170.59022938430255,-58.82662288732585
273.7391283699295,-14.407650151620375
155.7085067449522,-67.11676578247663
258.2699426968947,-23.253108903484325
270.2125763688181,-29.242133729770696
260.09818659995597,-50.005677940292465
270.91783474604745,-18.142163774611877
297.2858999523484,27.696157662889394
119.04402058739204,-21.952634504995267
291.3216872405465,12.700776851902766
318.04320188389414,47.82815865532555
234.09558322687693,-59.600303269109965
259.22539020309944,-46.87749719016438
135.62000668567995,45.47334362091257
234.963213874816,-44.90776991049974
263.5450916646558,-38.214768314265115
300.4315914417334,43.09888858947898
234.10489606550775,-59.600926985126925
265.29622669857633,3.6483724983742487
259.317289192141,-15.338659263128411
278.3079491907764,-34.515044468165975
260.72562622147393,-39.75567114289799
306.423662596444,16.71646715583643
270.2239817593893,-29.24242511356858
275.14502107162605,18.278059231147406
270.9260682449987,-18.14737320423933
286.17341423627545,-45.29940514665245
234.10013020971036,-59.59321526524932
286.0415298783017,13.624967737587443
260.37447623451885,-32.019843819699766
262.13542805084137,-25.54424323058632
235.41419716140584,-36.71845753372767
264.12301951502843,-51.16388351355604
287.7958413348239,4.845206352676552
244.66715776587634,-66.73502184734168
185.4240231465865,-56.55205710538133
303.62070817623663,31.12234838030745
317.3266788022127,37.244915156748334
179.0256629575587,69.87497041870648
110.2499478707673,-2.0232560176246186
270.22799238574913,-29.238108846350805
173.22410398979855,-56.55178145089751
244.50755689105975,-50.78708155367762
295.53545873992323,6.63903608729607
141.99851131068021,-64.86987349625709
295.1829809923979,41.50747942188323
281.82270162927347,-10.44166735425753
145.96495596827015,-50.784254031033186
321.54551450664036,31.46913882404686
229.95972738972418,-61.10885971553154
271.29989413056086,-53.4831263478917
153.91377182515382,-50.393836530523174
230.66355273236752,-46.49284751776299
286.394420517968,4.84186309957775
303.97382167749333,20.174872216614997
185.39501005130208,-56.55452587638057
287.09616087013524,-5.315033609666691
258.2584960662323,-40.14534950520317
289.19696122214674,-1.127222638686438
283.57896286588266,22.10026249766961
214.6743902379309,-38.60767748773485
244.5070087923625,-50.77247604228553
151.79817546310784,-66.72896557142825
271.4111120176271,-56.55543004696645
258.26838214977136,-23.244314536960236
271.31319313855346,-53.479679998243896
230.6674935912296,-46.492088962312344
321.33511906652205,51.34343163572193
265.2986685308326,-14.411991364294556
175.3311762214347,-55.78868348894648
278.6496795840038,-30.618518327199784
234.96872356970422,-44.91025861999436
